HTTrack3.49-2+htsswf+htsjava launched on Sat, 14 Jan 2023 12:28:48 at http://www.agadirdestination.com/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar +*http://www.agadirdestination.com/*
(winhttrack -qwC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f0#f -F  -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" http://www.agadirdestination.com/ -O1 "C:\My Web Sites\bbb" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar +*http://www.agadirdestination.com/* )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

13:44:49	Warning: 	Retry after error -4 (Incorrect length (272159 Bytes, 367474 expected)) at link www.agadirdestination.com/library/slider/qui-sommes-nous/004.jpg (from www.agadirdestination.com/qui-sommes-nous/index.html)
13:44:49	Warning: 	Retry after error -4 (Incorrect length (250366 Bytes, 367474 expected)) at link www.agadirdestination.com/library/slider/mentions-legales/004.jpg (from www.agadirdestination.com/mentions-legales/index.html)
13:44:49	Warning: 	Retry after error -4 (Incorrect length (725776 Bytes, 730321 expected)) at link www.agadirdestination.com/library/slider/cgv/005.jpg (from www.agadirdestination.com/cgv/index.html)
13:44:49	Warning: 	Retry after error -4 (Incorrect length (278783 Bytes, 367474 expected)) at link www.agadirdestination.com/library/slider/partenaires/004.jpg (from www.agadirdestination.com/partenaires/index.html)
13:44:50	Error: 	"Too Many Requests" (429) at link https://www.site-touristique.com/wp-content/uploads/2016/08/logo-st.png (from www.agadirdestination.com/partenaires/index.html)
13:44:50	Warning: 	Retry after error -5 (Unable to get server's address: No such host is known. ) at link www.willgoto.com/images/logo_1_120.gif (from www.agadirdestination.com/partenaires/index.html)
13:44:50	Error: 	"Forbidden" (403) at link www.a-gites.com/Images/logo88x31.gif (from www.agadirdestination.com/partenaires/index.html)
13:44:50	Error: 	"Too Many Requests" (429) at link https://www.voyagevirtuel.info/coeur/logo8831vv.gif (from www.agadirdestination.com/partenaires/index.html)
13:44:50	Warning: 	Retry after error -4 (Incorrect length (730040 Bytes, 730321 expected)) at link www.agadirdestination.com/library/slider/blog/005.jpg (from www.agadirdestination.com/blog/index.html)
13:44:55	Warning: 	Retry after error -4 (Incorrect length (715088 Bytes, 730321 expected)) at link www.agadirdestination.com/library/slider/informations-pratiques/005.jpg (from www.agadirdestination.com/informations-pratiques/index.html)
